# die	292.62	292.62
# bins	64
# instances	18510	1499
all	5	0.051,0.000,0.000,0.000,0.000,0.000,0.394,0.331,0.522,0.522,0.305,0.852,0.407,0.534,0.458,0.496,0.484,0.496,0.611,0.344,0.445,0.382,0.573,0.598,0.573,0.458,0.356,0.458,0.458,0.369,0.560,0.484,0.420,0.573,0.598,0.611,0.420,0.649,0.267,0.585,0.433,0.471,0.496,0.623,0.573,0.674,0.547,0.267,0.585,0.318,0.484,0.293,0.293,0.369,0.967,0.293,0.407,0.407,0.687,0.509,0.420,0.433,0.000,0.051
ff	5	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	6	0.038,0.000,0.000,0.000,0.000,0.115,0.331,0.407,0.420,0.471,0.382,0.115,0.331,0.496,0.216,0.305,0.458,0.369,0.242,0.458,0.458,0.305,0.547,0.445,0.267,0.369,0.445,0.356,0.267,0.382,0.445,0.458,0.331,0.445,0.331,0.394,0.573,0.407,0.509,0.522,0.534,0.534,0.382,0.471,0.382,0.318,0.420,0.318,0.254,0.318,0.369,0.484,0.636,0.394,0.496,0.471,0.458,0.331,0.293,0.484,0.242,0.394,0.000,0.038
ff	6	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	7	0.038,0.000,0.000,0.000,0.000,0.229,0.318,0.344,0.356,0.344,0.522,0.356,0.254,0.293,0.267,0.331,0.293,0.356,0.344,0.407,0.382,0.471,0.484,0.407,0.229,0.356,0.356,0.344,0.534,0.280,0.293,0.394,0.331,0.420,0.191,0.216,0.140,0.165,0.356,0.356,0.356,0.369,0.344,0.394,0.293,0.356,0.458,0.344,0.420,0.305,0.560,0.611,0.420,0.204,0.369,0.433,0.344,0.293,0.433,0.204,0.242,0.267,0.000,0.038
ff	7	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	8	0.038,0.000,0.000,0.038,0.369,0.254,0.433,0.382,0.280,0.254,0.305,0.254,0.420,0.407,0.280,0.369,0.445,0.293,0.305,0.344,0.267,0.547,0.267,0.318,0.369,0.471,0.305,0.318,0.407,0.280,0.394,0.573,0.305,0.407,0.407,0.267,0.382,0.242,0.293,0.267,0.471,0.356,0.254,0.204,0.407,0.407,0.229,0.356,0.458,0.471,0.674,0.598,0.484,0.394,0.573,0.267,0.522,0.522,0.318,0.356,0.356,0.509,0.000,0.038
ff	8	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	9	0.051,0.000,0.000,0.000,0.305,0.433,0.369,0.216,0.254,0.369,0.585,0.484,0.560,0.534,0.369,0.585,0.534,0.496,0.331,0.369,0.534,0.547,0.433,0.522,0.560,0.382,0.471,0.394,0.560,0.445,0.318,0.763,0.623,0.649,0.471,0.420,0.509,0.725,0.471,0.547,0.458,0.344,0.560,0.471,0.420,0.547,0.687,0.738,0.763,0.573,0.445,0.827,0.394,0.585,1.043,0.763,1.158,0.471,0.738,1.107,0.662,0.433,0.293,0.051
ff	9	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.484,0.242,0.242,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
